Intent Label,Question,Answer,Context
nursing_program,How do I apply to the nursing program?,,"Students must present evidence of good physical 
and mental health (including required immunizations and health 
screening) upon admission. Details on health requirements are 
listed in the admission packet. Applicants must provide evidence 
of current certification in an American Heart Association (AHA) 
Basic Life Support (BLS) Cardio Pulmonary Resuscitation (CPR) and 
Automated External Defibrillator (AED) course for Healthcare Professionals
that includes hands-on skill demonstration. Upon admission to the nursing
program, students are required to submit to a drug screening. Applicants 
will be charged a fee to offset the cost of the drug screening.
Results of the criminal background check and drug screen may determine
if a student is eligible to enter and/or remain in all clinical agencies 
to progress within the program. If a clinical site denies a student 
placement in their facility, the student would be unable to complete
the required clinical component of the course; therefore, the 
student will be withdrawn from all nursing courses and will not be 
allowed to progress in the program."
student_identification,How do I get a Student ID?,,"All WCC curriculum students are required to obtain and maintain 
an identification card and a parking decal. You can obtain your Parking Decal 
and Student ID once you have completed the registration process and paid  your 
tuition. Once this has been done, visit Student Activities located near the 
Student Lounge in the Wayne Learning Center with your receipt.
Each student receives only one free ID and parking decal. After registering
and paying for your classes, bring your receipt to the Student Activities office 
located near the Student Lounge in the Wayne Learning Center to get your student 
ID card and parking decal.Damaged or lost IDs will be replaced at a cost of $5.00 
per ID and additional parking decals are $2.00. Temporary parking passes can be 
obtained in the Student Activities office.Student ID cards are validated each semester
in the Business Office or Student Activities Office upon payment of fees.Call the Student 
Activities office at (919) 739-6740 or (919) 739-6742 for office hours and other information.""""""
"
student_identification,I lost my ID how can I get a replacement?,,"All WCC curriculum students are required to obtain and maintain 
an identification card and a parking decal. You can obtain your Parking Decal 
and Student ID once you have completed the registration process and paid  your 
tuition. Once this has been done, visit Student Activities located near the 
Student Lounge in the Wayne Learning Center with your receipt.
Each student receives only one free ID and parking decal. After registering
and paying for your classes, bring your receipt to the Student Activities office 
located near the Student Lounge in the Wayne Learning Center to get your student 
ID card and parking decal.Damaged or lost IDs will be replaced at a cost of $5.00 
per ID and additional parking decals are $2.00. Temporary parking passes can be 
obtained in the Student Activities office.Student ID cards are validated each semester
in the Business Office or Student Activities Office upon payment of fees.Call the Student 
Activities office at (919) 739-6740 or (919) 739-6742 for office hours and other information.""""""
"
parking_pass,Where can I get a temporary parking pass?,,"All WCC curriculum students are required to obtain and maintain 
an identification card and a parking decal. You can obtain your Parking Decal 
and Student ID once you have completed the registration process and paid  your 
tuition. Once this has been done, visit Student Activities located near the 
Student Lounge in the Wayne Learning Center with your receipt.
Each student receives only one free ID and parking decal. After registering
and paying for your classes, bring your receipt to the Student Activities office 
located near the Student Lounge in the Wayne Learning Center to get your student 
ID card and parking decal.Damaged or lost IDs will be replaced at a cost of $5.00 
per ID and additional parking decals are $2.00. Temporary parking passes can be 
obtained in the Student Activities office.Student ID cards are validated each semester
in the Business Office or Student Activities Office upon payment of fees.Call the Student 
Activities office at (919) 739-6740 or (919) 739-6742 for office hours and other information.""""""
"
accounting_program,Tell me about the accounting program.,,"Get the skills necessary for employment 
and growth in the accounting and finance profession. Be 
a part of one of the hottest career fields with projected 
job growth of 18 percent. Accounting offers you a great 
career with a world of opportunities and flexibility.
Course work may include accounting, finance, ethics, 
business law, computer applications, financial planning, 
insurance, marketing, real estate, selling, and taxation. 
Related skills are developed through the study of communications, 
computer applications, financial analysis, critical thinking skills, and ethics.
Graduates should qualify for entry-level accounting and finance positions in many 
types of organizations including accounting firms, small businesses, manufacturing 
firms, banks, hospitals, school systems, and governmental agencies.
This degree can be earned through traditional seated classes, totally online, 
or hybrid classes."
general_information,Who is the president of the college?,,"""Dr. Patricia A. “Patty” Pfeiffer began her career at Wayne Community College in November 1994 as a nursing instructor. She rose to Nursing Department chair, dean of the Allied Health and Public Services Division, chief of staff and vice president of institutional effectiveness, then vice president of academic and student services.

She took on the role of interim president of the college starting on June 24, 2021 and will continue to Dec. 31, 2021. She becomes the college’s ninth executive on Jan. 1, 2022.

Pfeiffer has been recognized in her various roles at the college. She received WCC’s top award for faculty members, the George E. Wilson Excellence in Teaching Award in 2007 and was also a finalist for the NC State Board of Community College’s Excellence in Teaching Award. In 2015, the college’s unit of the Association of Educational Office Professionals (AEOP) and the North Carolina District 12 AEOP presented Pfeiffer with their Administrator of the Year Awards.

Prior to employment with the college, Pfeiffer worked as a labor and delivery nurse.

Before attending college, Pfeiffer served in the United States Army as a parachute rigger and airborne paratrooper for six years. Her first duty station was Fort Lewis, Washington where she supported the 2nd and 75th Infantry Ranger Battalion. In addition, she was stationed in Taegu, Korea, and Fort Bragg, NC.

Pfeiffer earned her doctorate in higher education and adult learning from Walden University.  She also holds a master’s degree in administration from Central Michigan University, a master’s degree in nursing education from East Carolina University, a bachelor’s degree in nursing from East Carolina University, and an associate degree in nursing from Wayne Community College.

Pfeiffer is married to Tim, and they have two adult daughters, two grandchildren, and one son-in-law."
bookstore,Does the bookstore accept returns?,,"Wayne Community College maintains a bookstore for the convenience of students.
Course supplies and required textboks (new, used, e-text, rentals), gifts, clothing, electronics,
and graduation attire may be purchased in the bookstore. Visit the website at www.wayneccshop.com
for fast and easy textbok information and on-line ordering. Hours of operation are Monday, Tuesday,
and Thursday from 8:00 a.m. to 4:00 p.m., Wednesday from 8:00 a.m. to 5:00 p.m. and Friday from 8:00 a.m.
to 1:00 p.m. Extended hours are available at the start of each semester and other times as needed. Summer hours will vary.
Current hours are posted on the bookstore's website. The store's return policy allows a student seven
days from the start of the semester or two days from the purchase date if after the refund deadline.
All materials must be in the same condition as purchaed(shrink wrap intact, codes unopened and/or scratched,
packaging unopened). General merchandise may be returned up to 30 days from the purchase in original 
condition. Laptops are not returnable if opened and must be returned within 14 days of purchase. Refunds
are provided by original tender only(cash provided for check transacions after 10 buisness days).
Students may sell books back at any time during the year except at the beginning of each semester while 
financial aid is open for charging."
general_information,Where is the lost and found?,,"Lost and found articles are kept in the Campus Police and Security Office(1st floor, Wayne Learning 
Center, Room 195). Articles that are not reclaimed will be disposed of or turned over to appropriate agencies
after 30 days."
moodle,How do I access Moodle,,"Click the Moodle link on the right side of the page.
Log In information is on the Moodle Site.
Once logged in, click the title of the course(s)
Read the welcome announcements and complete initial
assignmets and the enrollment verification quiz.
For additional information, please visit www.waynecc.edu/de
If you would like to preview a WCC Moodle course site:
Go to moodle.waynecc.edu. Type ""wccguest"" for your user name
and ""wccguest"" for your password.
Click the tile of the WCC Moodle Demo Course.
Click the ""Logout"" button to exit."
directions,I can't find the computer lab?!,,"The Open Computer lab is located in Magnolia 215 and is available to WCC students
with a valid ID card (obtained in the student activities office). It contains 50 PCs, printers and a
scanner. All instructional software offered by the College, along with Internet connectivity, is available.
Consult the open computer lab website at http://www.waynecc.edu/online-services/technology-at-wayne/open-computer-lab/ 
for hours of operation."
general_information,How many clubs are at the College?,,"There are 16 active  clubs and organizations that have
indicated they will be active in the 2022-2023 academic year - pending 
official approval. Students should contact the advisors to learn more about
the student clubs and organizations:
Associate Degree Student Nurse Association Level I
Associate Degree Student Nurse ASsociation Level II
Criminal Justice Club
Dental Assisting Club
Dental Hygiene Club
Fishing Club
Forestry Club
Honors Club
Human Services Club
Multicultural Club
Pharmacy Technology Club
Phi Theta Kappa
Practical Nursing Club
Wayne Community College Society of American Foresters
Wayne Community College Future Leaders of the World (WCC FLOW)
Wayne COmmunity College Association of Nursing Students.""""""
"
new_registration,I am a new student how do I register?,,"New Students :
(Degree/Diploma/Certificate Seeking)
If you’re a brand new student, you will register for classes
through your academic advisor after completing the initial 
application steps:
*Apply online at: https://apply.cfnc.org/application/WaynCC/Undergrad/WaynCCUndergradApp?logoUrl=https://xroadsapi.cfnc.org/application/WaynCC/Undergrad/WaynCCUndergradApp/exclusiveLogo
*Activate your MyBisonID Account: https://www.waynecc.edu/mybisonid/
*Apply for Financial Aid: https://studentaid.gov/h/apply-for-aid/fafsa school code(008216)
*Submit your Transcripts to : wcc-admissions@waynecc.edu
*Take Placement Tests (only if required)
*Meet your Academic Advisor: After the application process, you will be assigned an academic advisor whom you can contact to register for courses. The name of your assigned advisor and their contact information can be viewed in the Self-Service tool located through the Okta Portal.
Inside Self-Service, navigate to: Student Planning -> Plan your Degree & Register for Classes -> Advising tab
Current Students (Degree/Diploma/Certificate Seeking):
So you have at least one semester under your belt and you’re 
ready to hit Priority Registration for your next semester. 
Great! Don’t forget that all students are required to meet 
with their advisor before registration. Also, remember that 
if for some reason you missed Priority Registration, you can 
always register in any of the Open Registration periods.
Search for Classes: Check the Course Schedules page to see what
courses are available to you for the next semester.Register 
through Self-Service When Priority and Open Registration are
active, you use Self-Service to register for classes. You will
be contacted by the college with information about when you can 
register for classes. You also can use Self-Service to view your 
class schedule, GPA, transcripts, grades, and more.
Login Help Visit the My Bison ID page if you are having trouble 
logging into Self-Service or any other services in the Okta Portal.
Tuition, Fees, and Refund Policy Visit the Tuition and Fees page 
to find information about tuition and fees, along with a Net Price Calculator.
Information about our tuition refund policy can be found on 
the Refund and Disbursements page."
returning_registration,If I am a current student how do I register?,,"Current Students (Degree/Diploma/Certificate Seeking):
So you have at least one semester under your belt and you’re 
ready to hit Priority Registration for your next semester. 
Great! Don’t forget that all students are required to meet 
with their advisor before registration. Also, remember that 
if for some reason you missed Priority Registration, you can 
always register in any of the Open Registration periods.
Search for Classes: Check the Course Schedules page to see what
courses are available to you for the next semester.Register 
through Self-Service When Priority and Open Registration are
active, you use Self-Service to register for classes. You will
be contacted by the college with information about when you can 
register for classes. You also can use Self-Service to view your 
class schedule, GPA, transcripts, grades, and more.
Login Help Visit the My Bison ID page if you are having trouble 
logging into Self-Service or any other services in the Okta Portal.
Tuition, Fees, and Refund Policy Visit the Tuition and Fees page 
to find information about tuition and fees, along with a Net Price Calculator.
Information about our tuition refund policy can be found on 
the Refund and Disbursements page."
financial aid,What is the school code?,,8216
directions,I need something to drink where are the vending machines?,,"Vending machines are located on the first floor of WLC (snacks/
sandwhiches/drinks), 2nd floor of Magnolia (snack/drinks), 1st floor of Hocutt
(snacks/drinks), 2nd floor of Walnut (snacks/drinks), ourside the north entrance 
to Pine(drinks only), at the Wayne Works Center, and at the Aviation Classroom
Building(drinks only). You are also welcome to visit the Bison Bistro in the 
Wayne Learning Center. "
library,What time does the Library open?,,"The Dr. Clyde A. Erwin, Jr. Library 
provides resources to assist students, faculty, and staff in their research and actively supports the College 
mission by the ongoing development of a print and electronic collection devoted to enhancing the curriculum. 
Library services are offered to traditional students and distance learners, as well as to the general public 
of Wayne County.
Offerings of the Library include the following:
Over 36,000 circulating print books supplemented by nearly 400,000 ebooks
Over 80,000 streaming videos
Thousands of fully-searchable online magazines, newspapers and journals available for in-library and remote use
32 desktop computers and headphones for research and homework with WCC username login or guest pass
The WCC Single Search discovery service, providing access to NCLIVE along with 62 other research databases 
for article, ebook and digital video resourcesCustomizable information literacy or group study sessions in the 
Library Literacy Lab as well as presentations given off-site or available in Moodle course pages Services for 
creating scans, photocopying, laser printing and wireless printing Reference and research assistance in person, 
by telephone or e-mail 4 group study pods seating 6-8 people and a larger literacy lab offering many wall- and 
table-mounted outlets for reservation or use on a first-come, first-served basis
Hours of operation are:
Monday through Thursday - 7:45 a.m. to 7:00 p.m.
Friday - 7:45 a.m. to 1:00 p.m.
(Hours may vary during Summer Term.)
The Dr. Clyde A. Erwin, Jr. Library is located on the third floor of the Wayne Learning Center building. 
For more information, call (919) 739-6891 or visit online at the library website:www.waynecc.edu/library."
library,How do I search for articles in the Library?,,"The Dr. Clyde A. Erwin, Jr. Library 
provides resources to assist students, faculty, and staff in their research and actively supports the College 
mission by the ongoing development of a print and electronic collection devoted to enhancing the curriculum. 
Library services are offered to traditional students and distance learners, as well as to the general public 
of Wayne County.
Offerings of the Library include the following:
Over 36,000 circulating print books supplemented by nearly 400,000 ebooks
Over 80,000 streaming videos
Thousands of fully-searchable online magazines, newspapers and journals available for in-library and remote use
32 desktop computers and headphones for research and homework with WCC username login or guest pass
The WCC Single Search discovery service, providing access to NCLIVE along with 62 other research databases 
for article, ebook and digital video resourcesCustomizable information literacy or group study sessions in the 
Library Literacy Lab as well as presentations given off-site or available in Moodle course pages Services for 
creating scans, photocopying, laser printing and wireless printing Reference and research assistance in person, 
by telephone or e-mail 4 group study pods seating 6-8 people and a larger literacy lab offering many wall- and 
table-mounted outlets for reservation or use on a first-come, first-served basis
Hours of operation are:
Monday through Thursday - 7:45 a.m. to 7:00 p.m.
Friday - 7:45 a.m. to 1:00 p.m.
(Hours may vary during Summer Term.)
The Dr. Clyde A. Erwin, Jr. Library is located on the third floor of the Wayne Learning Center building. 
For more information, call (919) 739-6891 or visit online at the library website:www.waynecc.edu/library."
bison_alert,Where do I go in a tornado warning?,,"In the event that a severe weather warning presents an immediate threat to WCC facilities, the campus will be alerted by the Bison Alert system and the following plan will be activated. If time permits, disconnect all electrical and computer equipment and close all windows before you leave your area.
Azalea, Dogwood, Holly, Magnolia, Pine, Spruce, and Walnut Buildings:  Occupants should immediately proceed to the first and second floors of their respective buildings and assemble in the interior rooms, hallways, or stairs away from any outside doors and windows and wait for further instructions from Campus Police.
Ash Building:  Occupants should immediately proceed to the first floor of the building and assemble on the first floor in the Storage Room 126, 103, or Break Room 118.  Stay away from glass walls and windows and wait for further instructions from Campus Police.
Aviation Building: All individuals should immediately proceed to the Aviation classroom building interior hallway, rest rooms, kitchenette, offices, etc.  Stay away from outside doors and windows and wait for further instructions from Campus Police.
Hocutt Building: Occupants should immediately proceed to the ﬁrst ﬂoor and assemble in the interior rooms, hallways, or stairs away from any outside doors and windows and wait for further instructions from Campus Police.
Cedar and Oak Buildings: All individuals should immediately proceed to the interior hallway or rooms with no outside doors or windows.  Stay as far as possible away from windows and exterior doors  Individuals should wait there for further instructions from Campus Police.
WLC Building: All individuals on the first floor should immediately proceed to the Moffatt Auditorium and move to the first row and fill in from the middle of the row in the center or inside out on the right and left wings so everyone can find a seat as quickly as possible.  If the Moffatt Auditorium is already at capacity, go to the interior hallways, restrooms, break rooms, kitchenettes, office areas, and other interior spaces with no outside doors or windows on the first and second floors, and wait for further instructions from Campus Police.  On the second and third floors, avoid outside doors and windows, including those facing the atrium.
Elsewhere on Campus:  Individuals in service buildings or elsewhere on the grounds should seek immediate shelter in the nearest brick building or lay flat in a ditch or other low-lying area if time does not permit getting inside a building.
Everyone is to remain in the safe area(s) until notified by Campus Police that all is clear. "
bison_alert,How will the campus be alerted in case of severe weather warnings?,,"In the event that a severe weather warning presents an immediate threat to WCC facilities, the campus will be alerted by the Bison Alert system and the following plan will be activated. If time permits, disconnect all electrical and computer equipment and close all windows before you leave your area.
Azalea, Dogwood, Holly, Magnolia, Pine, Spruce, and Walnut Buildings:  Occupants should immediately proceed to the first and second floors of their respective buildings and assemble in the interior rooms, hallways, or stairs away from any outside doors and windows and wait for further instructions from Campus Police.
Ash Building:  Occupants should immediately proceed to the first floor of the building and assemble on the first floor in the Storage Room 126, 103, or Break Room 118.  Stay away from glass walls and windows and wait for further instructions from Campus Police.
Aviation Building: All individuals should immediately proceed to the Aviation classroom building interior hallway, rest rooms, kitchenette, offices, etc.  Stay away from outside doors and windows and wait for further instructions from Campus Police.
Hocutt Building: Occupants should immediately proceed to the ﬁrst ﬂoor and assemble in the interior rooms, hallways, or stairs away from any outside doors and windows and wait for further instructions from Campus Police.
Cedar and Oak Buildings: All individuals should immediately proceed to the interior hallway or rooms with no outside doors or windows.  Stay as far as possible away from windows and exterior doors  Individuals should wait there for further instructions from Campus Police.
WLC Building: All individuals on the first floor should immediately proceed to the Moffatt Auditorium and move to the first row and fill in from the middle of the row in the center or inside out on the right and left wings so everyone can find a seat as quickly as possible.  If the Moffatt Auditorium is already at capacity, go to the interior hallways, restrooms, break rooms, kitchenettes, office areas, and other interior spaces with no outside doors or windows on the first and second floors, and wait for further instructions from Campus Police.  On the second and third floors, avoid outside doors and windows, including those facing the atrium.
Elsewhere on Campus:  Individuals in service buildings or elsewhere on the grounds should seek immediate shelter in the nearest brick building or lay flat in a ditch or other low-lying area if time does not permit getting inside a building.
Everyone is to remain in the safe area(s) until notified by Campus Police that all is clear. "
bison_alert,How long should people remain in safe areas during a tornado warning?,,"In the event that a severe weather warning presents an immediate threat to WCC facilities, the campus will be alerted by the Bison Alert system and the following plan will be activated. If time permits, disconnect all electrical and computer equipment and close all windows before you leave your area.
Azalea, Dogwood, Holly, Magnolia, Pine, Spruce, and Walnut Buildings:  Occupants should immediately proceed to the first and second floors of their respective buildings and assemble in the interior rooms, hallways, or stairs away from any outside doors and windows and wait for further instructions from Campus Police.
Ash Building:  Occupants should immediately proceed to the first floor of the building and assemble on the first floor in the Storage Room 126, 103, or Break Room 118.  Stay away from glass walls and windows and wait for further instructions from Campus Police.
Aviation Building: All individuals should immediately proceed to the Aviation classroom building interior hallway, rest rooms, kitchenette, offices, etc.  Stay away from outside doors and windows and wait for further instructions from Campus Police.
Hocutt Building: Occupants should immediately proceed to the ﬁrst ﬂoor and assemble in the interior rooms, hallways, or stairs away from any outside doors and windows and wait for further instructions from Campus Police.
Cedar and Oak Buildings: All individuals should immediately proceed to the interior hallway or rooms with no outside doors or windows.  Stay as far as possible away from windows and exterior doors  Individuals should wait there for further instructions from Campus Police.
WLC Building: All individuals on the first floor should immediately proceed to the Moffatt Auditorium and move to the first row and fill in from the middle of the row in the center or inside out on the right and left wings so everyone can find a seat as quickly as possible.  If the Moffatt Auditorium is already at capacity, go to the interior hallways, restrooms, break rooms, kitchenettes, office areas, and other interior spaces with no outside doors or windows on the first and second floors, and wait for further instructions from Campus Police.  On the second and third floors, avoid outside doors and windows, including those facing the atrium.
Elsewhere on Campus:  Individuals in service buildings or elsewhere on the grounds should seek immediate shelter in the nearest brick building or lay flat in a ditch or other low-lying area if time does not permit getting inside a building.
Everyone is to remain in the safe area(s) until notified by Campus Police that all is clear. "
